fr,dje
Nous utilisons des lampes à pétrole quand il n'y a pas d'électricité.,Iri ga fitilay goy waati kaŋ harikarifi si no.
Les éleveurs conduisent leurs troupeaux vers les pâturages.,Alman-kuru-juwey ga ngi almaney gurandi subu do.
Je vais au puits pour puiser de l'eau fraîche.,Ay ga koy day-hari guusu do ka hari yayna zaa.
Le guérisseur prépare des médicaments avec des plantes.,Safaari-teekoy ga safaari soolu nda tuuri-izey.
Les jeunes filles tressent leurs cheveux pour la fête.,Wandiya yaŋ ga ngi boŋhamney muktu batu se.
La saison sèche dure de novembre à mai.,Jiiri koga ga tee hando way cindi fo ka koy hando gu.
Nous plantons des arbres pour lutter contre la désertification.,Iri ga tuurey tilam ka gaa saajo gana.
Les commerçants viennent de loin pour vendre leurs marchandises.,Neereikoyey ga fun nangu mooruyaŋ ka kaa ka ngi hayey neerandi.
La radio diffuse les nouvelles en plusieurs langues.,Radio ga alhabaryaŋ salaŋ deene boobo ra.
Je fabrique des briques en terre pour construire ma maison.,Ay ga tuba kar laabo ra ka ay windi cin.
Les abeilles produisent du miel dans leurs ruches.,Yuu ga yuu tee ngi fitila ra.
La fumée s'élève au-dessus des cases du village.,Dullu ga tun fuuyaŋ boŋ koyraa ra.
Nous célébrons le mariage avec des chants et des danses.,Iri ga hiijay batu nda dooni nda gan.
Le potier façonne de belles jarres en argile.,Kosu-jinay-teekoy ga kosu kusu hanno yaŋ tee.
Les caravanes de sel traversent le désert du Ténéré.,Ciiri neereikoyey ga Tenere saajo deesi.
Le marabout enseigne le Coran aux enfants.,Alfaga ga Alkarama cawandi zankey se.
Nous récoltons le coton à la fin de la saison des pluies.,Iri ga kotone hegay hari jiiri benante ga.
Le toit de ma case est fait de paille et de bois.,Ay fuwo boŋo teendi nda subu nda bundu.
Les pintades sauvages courent dans la brousse.,Saaji kamsa yaŋ ga zuru saajey ra.
Je tresse des nattes avec des feuilles de palmier.,Ay ga taafe muku nda teenay tuuri fitey.
Les femmes vendent des galettes de mil au bord de la route.,Wayborey ga habu taasay neerandi fonda jarga.
Le conteur réunit les enfants sous le grand baobab.,Fillakoy ga zankey marga ko beeri cire.
Nous pêchons dans la mare pendant la saison sèche.,Iri ga ham di gooraa ra jiiri koga waate.
La calebasse est décorée avec de beaux motifs gravés.,Gaasu ga taalam nda hannu bii teera.
Le berger surveille son troupeau de moutons.,Almankom ga nga feejey batu.
Les termites mangent le bois de ma chaise.,Kontomey ga ay korgaa bundoo ŋwa.
Je vais à la mosquée pour la prière du vendredi.,Ay ga koy aljaama fu ra alzuma juuma se.
Les écoliers portent des uniformes bleus.,Caw-jinakey ga darbay bula bindam.
Le manioc est cultivé dans les régions plus humides.,Bankuti ga beeri nango kaŋ ganda yayna.
Nous préparons le thé en trois services.,Iri ga attaay hina sorro hinza.
Le mil est pilé dans un mortier avec un pilon.,Haabu ga yobu humbur ra nda humbur bundoo.
Les hommes construisent des greniers pour stocker les récoltes.,Arey ga nagi cinandi ka hegay jisi.
Je cherche des racines médicinales dans la brousse.,Ay ga safaari kandey ceeci saaji ra.
Le teinturier colore les tissus avec des teintures naturelles.,Sooso birji-koyo ga darbay birji nda saaji birji hari.
Nous écoutons les griots chanter les louanges des anciens.,Iri ga hangan geseserey doooney kaŋ ga don daabu ceecikey ra.
La lune est pleine pendant les nuits de Ramadan.,Handu ga too Ramadan cindi ra.
Le miel sauvage est plus foncé que le miel d'élevage.,Saaji yuu ga bi ka bisa farmi yuu.
Je plante des oignons dans mon jardin.,Ay ga albasaley dumbu ay lamba ra.
Les femmes portent des pagnes colorés lors des fêtes.,Wayborey ga taafe birjante yaŋ didim batuyaŋ waate.
Le canari garde l'eau fraîche même par temps chaud.,Kusu ga hari yaynandi baa waati konnaante ra.
Nous fabriquons des bracelets avec de l'argent.,Iri ga kabe-korbay tee nzarfu ra.
Le vétérinaire soigne les animaux malades du village.,Alman-loktor ga alman wircikooney bana koyraa ra.
Je cueille des feuilles de baobab pour la sauce.,Ay ga ko fitey zaa ham se.
Les feuilles de neem sont utilisées contre la fièvre.,Tibi fitey ga goy ga gaaham kangayan wii.
Nous préparons la bouillie de mil pour le petit-déjeuner.,Iri ga habu buusa hina susubay ŋwaari se.
Le maçon construit les murs de ma nouvelle maison.,Cinakoy ga ay windi taago cetey cin.
La petite fille aide sa mère à piler le mil.,Zanka wayo kayna ga nga nyaa gaa ka haabu yobu.
Les calebasses flottent sur l'eau de la rivière.,Gaasuyaŋ ga yulu isa hari boŋ.
Je vends des mangues fraîches au bord de la route.,Ay ga mangoo kesoo neerandi fonda jarga.
Le tailleur coud des boubous pour la fête de Tabaski.,Zaarkoy ga bagiyaŋ teji Tabaski batu se.
Nous fabriquons du savon avec de l'huile de karité.,Iri ga safuna tee bulanga ji ra.
La hyène rôde autour du village pendant la nuit.,Kooro ga yaaru koyraa windanta cin ra.
Je tresse des cordes avec des fibres de baobab.,Ay ga karfe muku nda ko fita.
Les chasseurs partent à l'aube pour traquer le gibier.,Ganjiyaŋ ga dira susubay za alaafir tun se.
Nous réparons le toit de la case avant la saison des pluies.,Iri ga fuwo boŋo hanandi za hari jiiri mana kaa.
Le vannier tresse des paniers avec des tiges de mil.,Condo teekoy ga condo muku nda haabi bundoyaŋ.
Les moutons sont sacrifiés pour la fête de Tabaski.,Feejiyaŋ ga koosandi Tabaski batu se.
Je construis une clôture autour de mon champ.,Ay ga ay faro windanta nda saaji.
Les femmes préparent le couscous de mil pour le dîner.,Wayborey ga habu cere tiini hawray ŋwaari se.
Le boucher abat le bœuf pour la grande fête.,Ham-wi-koy ga haw wi batu beero se.
Nous attendons la nouvelle lune pour commencer le Ramadan.,Iri ga handu taaga batu ka Ramadan sintina.
La sécheresse a détruit beaucoup de récoltes cette année.,Heray na hegay boobo halaci jiiri woo.
Je répare la charrette avec des outils de forgeron.,Ay ga torko nooru nda guuru-goyji jinay.
Les femmes décorent leurs mains de henné pour les fêtes.,Wayborey ga ngi kanbey taalam nda haanadaara batuyaŋ se.
Le scorpion se cache sous les pierres pendant la journée.,Dinger ga tugu tondey cire zaari ra.
Nous achetons des médicaments à la pharmacie du village.,Iri ga safaariyaŋ day koyraa safaari neera fu ra.
Le crieur public annonce les nouvelles importantes.,Baatu teekoy ga alhabari hinney feesu.
Les jeunes garçons gardent les chèvres aux pâturages.,Arwasu yaŋ ga hinciney kuru ka koy subu do.
Je prépare une infusion de feuilles de goyave contre la diarrhée.,Ay ga gooyav fitey safaari hina gundekuuru se.
La caravane de chameaux traverse le désert.,Yoyaŋ kaaroo ga saajo deesi.
Les femmes font sécher le poisson au soleil.,Wayborey ga hamey kogu wayna ra.
Le menuisier fabrique des tables et des chaises en bois.,Bundu goykoyo ga taabal nda korga yaŋ te bundu ra.
Nous célébrons la naissance d'un enfant avec une fête.,Iri ga zanka hay batu nda batu.
La houe est utilisée pour cultiver le champ.,Kuumu ga goy fari beeri se.
Je garde les moutons pendant que mon frère est à l'école.,Ay ga feejiyaŋ kuru waati kaŋ ay nya-izo go lakol.
Le miel est conservé dans des calebasses fermées.,Yuu ga jisandi gaasu daabunte yaŋ ra.
Les ânes transportent l'eau du puits au village.,Farkayaŋ ga hari zaa ka fun guusu do ka kaa koyraa ra.
Nous tressons les cheveux des filles pour la rentrée scolaire.,Iri ga wandiyayaŋ boŋhamney muktu lakol sintina waate.
Le guérisseur connaît les plantes qui guérissent la toux.,Safaari-teekoy ga tuurey bay kaŋ ga taarukumay yena.
Je répare le filet de pêche avant d'aller à la rivière.,Ay ga ham-di mole hanandi jina ya koy isa do.
Les vieux se réunissent sous l'arbre à palabres.,Aruyaŋ ga margu yaamar tuuri cire.
La sauce d'arachide accompagne bien le riz.,Dembi ham ga cerow hanse.
Nous tissons des couvertures pour les nuits fraîches.,Iri ga daabey taji fatta cin yaynayaŋ se.
Le piroguier traverse les voyageurs d'une rive à l'autre.,Hi-zurandikoy ga dirikom yaŋ zurandii ka benteŋa fa to.
Je vends des piments séchés au marché hebdomadaire.,Ay ga citta koganteyaŋ neerandi jirbiyo habu ra.
Les hommes réparent la route après les fortes pluies.,Arey ga fonda hanandi hari beero kaŋyaŋo banda ga.
La tortue se cache dans sa carapace quand elle a peur.,Kunkuni ga tugu nga kufo ra waati kaŋ a ga humbur.
Nous récoltons le miel sans tuer les abeilles.,Iri ga yuu zaa bila ka yuuyey wi.
Le nomade déplace sa tente selon les saisons.,Yaarukon ga nga huwo samba waatey bande.
Je soigne les plaies avec du beurre de karité.,Ay ga marayaŋ safaarey nda bulanga jimaandi.
Les villageois creusent un puits pour avoir de l'eau potable.,Koyra borey ga hari guusu fansi ka duu hari kaŋ ga haŋandi.
Le lion est le roi de la savane africaine.,Muusu ti saaji Afiriki koyo.
Nous fabriquons des jouets avec des matériaux de récupération.,Iri ga foola jinay tee nda jinay zeeney.
Le pêcheur jette son filet dans la rivière.,Ham-di-koy ga nga moley catu isa ra.
La sorcière est crainte par les habitants du village.,Koyraa borey ga tafa cerkow se.
Je cueille des herbes médicinales au lever du soleil.,Ay ga safaari subey kosu wayna funyaŋ waate.
Les mangues mûrissent au début de la saison des pluies.,Mangooyaŋ ga nin hari jiiri sintinayanoo ga.
Le tamarinier donne une pulpe acide utilisée en cuisine.,Tombi ga ize mormorante hay kaŋ ga goy jirbiri ra.
Nous semons les graines après les premières pluies.,Iri ga dumiyey say hari jina kaŋyaney banda ga.
Le chacal rôde près des poulaillers la nuit.,Hayla ga yaaru gorko windanta cin ra.
Je fabrique des balais avec des tiges de mil.,Ay ga fitiila tee nda haabi bundoyaŋ.
Les mauvaises herbes envahissent le champ après la pluie.,Subu lalayaŋ ga fari too hari kaŋyaŋo banda ga.
Le chameau peut porter de lourdes charges.,Yo ga hin ka jeebu tiŋayaŋ jare.
Nous préparons la pâte d'arachide pour faire la sauce.,Iri ga dembi buusa soolu ham teeyan se.
Le batteur joue du tam-tam pour la cérémonie.,Gaŋgani karko ga gaŋgaa kar batuyaŋ se.
La saison des mangues est la préférée des enfants.,Mangoo jiiri ga kan zankey se ka bisa jiiri kulu.
Je garde les poules pour avoir des œufs frais.,Ay ga gorkoyaŋ jisi ka duu tondi taagayaŋ.
Les fourmis construisent leur fourmilière près du grenier.,Nkunduyaŋ ga ngi fuwo cin nagi jarga.
Le feu de brousse détruit la végétation sèche.,Saaji nuune ga tuuri-ize koganteyaŋ halaci.
Nous utilisons l'huile de neem contre les moustiques.,Iri ga tibi ji goy bibiney gaayaney se.
Le bébé dort dans un berceau en osier.,Taana ga jirbi daaru kaŋ teendi tuuri bundu ra.
Je construis une petite digue pour irriguer mon jardin.,Ay ga bongu kayna cin ka ay lamba hari noo.
Les grenouilles croassent après la pluie.,Torey ga jinde hari kaŋyaŋo banda.
Le grand-père raconte des contes au clair de lune.,Kaaba ga fillayaŋ deede handu cini waate.
Nous regardons les étoiles filantes pendant les nuits d'été.,Iri ga handari kaalante yaŋ guna konnari jiiri waate.
La poussière rouge couvre tout pendant l'harmattan.,Bulabula ciray ga hayaa kulu daabu harmattan waate.
Je protège les semis contre les oiseaux avec un épouvantail.,Ay ga dumiyoo ga goji curaa se nda kurka.
Les termitières servent de four pour les potiers.,Kontom fuuyaŋ ga goy alforon ntakoy se.
Le boucher aiguise son couteau sur une pierre.,Ham neereikoy ga nga sandiko kanjandi tondi boŋ.
Nous conservons les graines dans des sacs en jute.,Iri ga dumiyey jisi botto ra.
Le berger siffle pour rassembler son troupeau.,Alman-koy ga fiira ka nga almaney marga.
Je répare le toit de chaume avant la saison des pluies.,Ay ga subu fuwo boŋo hanandi za hari jiiri mana kaa.
Les champs de mil s'étendent à perte de vue.,Haabi farey go nangu kulu mo si to do.
Le pilon en bois est utilisé pour écraser les épices.,Bundu humbur ga goy ka kamba duma hamyaŋ dumakul-dumakul.
Nous plaçons des pièges pour attraper les rats.,Iri ga waaro jisi ka far yaŋ di.
La vache donne du lait frais chaque matin.,Haw ga wa taaga noo susubay kulu.
Je tisse des nattes pour dormir sur le sol.,Ay ga taafe taji ga jirbi laabo boŋ.
Les femmes préparent le beurre de karité.,Wayborey ga bulanga ji soolu.
Le scorpion noir est plus dangereux que le jaune.,Dinger bibi ga laala ka bisa izo say.
Nous utilisons le karité pour soigner les gerçures.,Iri ga bulanga ji goy ga gaaham ceeri yenandi.
Le féticheur prépare des gris-gris de protection.,Cerkoy ga dabare jinay soolu gojiyaŋ se.
Je plante des arbres fruitiers dans ma concession.,Ay ga tuuri-ize yaŋ tilam ay windi ra.
L'agriculture est la principale activité économique au Niger.,Beeriyan ti alman gaa teera sintina Niger ra.
Le fleuve Niger est une source importante d'eau pour l'irrigation.,Isa Niger ti hari boro beeri fari haari nooyan se.
Les panneaux solaires sont de plus en plus utilisés dans les villages isolés.,Wayna bangay jinayyaŋ ga tonton koyraa moorantey ra.
L'université de Niamey forme des ingénieurs en informatique.,Niamey university ga ordinater goykoyey dondon.
La médecine traditionnelle utilise des plantes locales pour soigner les maladies.,Laala safaari ga tuuri-ize nangoo goy ka doori yena.
Les téléphones portables ont transformé la communication en milieu rural.,Telefon ga tee taamu deene ra saajiŋwaari nangey ra.
Le changement climatique affecte les précipitations au Sahel.,Jiiri-waate bareyaŋo ga hari kaŋyan barmay Sahel ra.
Les femmes jouent un rôle crucial dans l'économie familiale.,Wayborey goyoo ga hima windi alman ra.
L'énergie solaire est une solution durable pour les régions désertiques.,Wayna gaabi ti fondaa kaŋ ga gay saajo laabuey ra.
La vaccination des enfants est essentielle pour prévenir les maladies.,Zankey pikiri nooyaŋ ga hanse ka boori doori ganji se.
Les marchés hebdomadaires attirent des commerçants de toute la région.,Jirbi habuey ga neereikoyey cee ka fun laama kulu.
La saison des pluies dure généralement de juin à septembre.,Hari jiiroo ga tee za hando iddu ka koy hando yagga.
Le mil est la céréale la plus cultivée dans le pays.,Haabu ti dumari beeri kaŋ ga beera ka bisa laabo ra.
Les jeunes quittent souvent les villages pour chercher du travail en ville.,Zankey ga koyraa naŋ waati boobo ka goy ceeci koyraa beero ra.
L'analphabétisme reste un défi majeur dans les zones rurales.,Caw jaŋay ga tee bine hasaraw koyraa kaynayaŋ ra.
Les réseaux 4G couvrent maintenant la plupart des grandes villes.,4G jinayyaŋ ra ga koyraa beeriyo kulu daabu sohõ.
La médecine moderne et traditionnelle coexistent dans le système de santé.,Safaari taago nda laala safaari ga goy care bande gaaham baafunay goyo ra.
Le coton est exporté vers les marchés internationaux.,Kotone ga neera adduɲɲa habu beeriyo ra.
Les contes traditionnels sont transmis oralement de génération en génération.,Fillaganoo ga cabe me ra ka fun kayna ka koy kayna.
La désertification menace les terres agricoles du nord.,Saaji teeyan ga bine hasaraw fari laabu hawsa wane se.
Les écoles coraniques jouent un rôle important dans l'éducation.,Alkarama lakolo ga goy beeri te dondonyan goyo ra.
La cuisine nigérienne est connue pour ses sauces à base d'arachide.,Niger ŋwaari ga bay nga dembi ham maanaa se.
Les motos sont le moyen de transport le plus commun en ville.,Mooto ti dirakoy jinay kaŋ ga boobo beero ra.
Le paludisme reste la principale cause de mortalité infantile.,Hemar ga tee zankey buuyan dalil beeri.
Les forages permettent d'accéder à l'eau souterraine dans les zones arides.,Guusu hari fansiyan ga ŋa boro ma ganda cire hari guna saajo nangey ra.
La migration saisonnière est courante chez les éleveurs nomades.,Zaamo barmay diraw ti alman jurukoy yaŋ alaada.
Les femmes tressent des paniers en feuilles de palmier pour le marché.,Wayborey ga condo muku nda teenay tuuri fitey ka neera habu ra.
L'artisanat local est menacé par les produits importés moins chers.,Kambe jinay teeyan nangoo ga hasara jinay kaŋ ga kaa taray nda hay kayna.
Les téléphones intelligents transforment l'accès à l'information.,Telefon lakkalkoyni ga alhabar ceeciyan barmay.
Le système bancaire mobile permet d'envoyer de l'argent facilement.,Banki telefon ga naŋ boro ma nooroo samba nda faala.
Les radios communautaires diffusent des informations en langues locales.,Jama radiyo ga alhabar salaŋ deene laaley ra.
L'islam est la religion majoritaire au Niger.,Alsilaamaytaray ti addini kaŋ ga boobo Niger ra.
La dot est une tradition importante lors des mariages.,Nooru nooyaŋ ti alaada beeri hiijay waate.
Les guérisseurs traditionnels utilisent des plantes médicinales.,Safaari-teekoyey ga tuuri safaariyaŋ goy.
La mortalité maternelle a diminué grâce aux programmes de santé.,Nya buuyan ga za ga zaɲaa safaarey maanaa se.
Les jeunes apprennent des métiers par apprentissage auprès des artisans.,Zankey ga goy dondon kambe-goy-teera koyo do.
L'uranium est une ressource minérale importante pour l'économie.,Uranium ti ganda jinay beeri alman goyo se.
Les festivals culturels célèbrent la diversité ethnique du pays.,Alaada batuyaŋ ga laabo dumey boobaayaŋ batu.
La broderie est un artisanat féminin très apprécié.,Darbay birji teeyaŋ ti waybora kambe goy kaŋ ga cabe.
Les élections présidentielles ont lieu tous les cinq ans.,Laama jine boro sooluyaŋ ga tee jiiri gu kulu.
Le transport fluvial est utilisé pendant la saison des pluies.,Isa zurandiyan jinay ga goy hari jiiri waate.
Les marchés aux bestiaux sont très animés le jour du marché.,Alman habuey ga funi gumo habu zaaro ga.
La sécheresse affecte les rendements agricoles chaque année.,Heray ga fari hegay hasara jiiri kulu.
Les médicaments modernes sont souvent inaccessibles dans les villages éloignés.,Safaari taaga ga cin ka tee wa si duwandi koyraa moorantey ra.
Le thé est servi en trois services selon la tradition.,Attaay ga gaara sorro hinza alaada boŋ.
Les griots sont les gardiens de l'histoire orale.,Gesere yaŋ ti taariki deene batukoy.
L'exode rural vide les villages de leurs jeunes.,Koyraa naŋyan ka koy beero ra ga koyraa kulu zankey kaa.
Les échanges commerciaux à travers le Sahara existent depuis des siècles.,Maamala teeyaŋey kaŋ ga bisa Sahara saajoo ga no za jiiri zaŋgu booboyaŋ.
La dot se négocie entre les familles des futurs mariés.,Almahar ga sappa hiijay kooney windey game.
Les femmes portent des bijoux en or pour montrer leur statut social.,Wayborey ga wura taalam jinay didim ka ngi alhaalo cebe.
Le football est le sport le plus populaire parmi les jeunes.,Bal cebe ti foola kaŋ ga kan zankey se ka bisa ikulu.
Les motos-taxis permettent de se déplacer facilement en ville.,Mooto taksi ga naŋ boro ma dira nda faala koyraa beero ra.
La musique traditionnelle utilise des instruments comme le tam-tam et la flûte.,Baytu dooniyaŋ ga jinay dumi danga gaŋgaa nda fiiraw goy.
L'artisanat en cuir est spécialisé par certaines ethnies.,Kuuru goy ti dumey fooyaŋ goy.
Les cérémonies de mariage durent plusieurs jours.,Hiijay batuyaŋ ga gay jirbi boobo.
Le commerce transfrontalier est vital pour l'économie locale.,Maamala kaŋ ga laabo hirroo deesi ga boori nango alman goyo se.
Les écoliers portent des uniformes pour aller à l'école.,Caw-jinakey ga lakol darbay daŋ ka koy lakol.
L'huile d'arachide est utilisée pour la cuisine quotidienne.,Dembi ji ga goy zaari kulu ŋwaari hina ra.
Les tisserands créent des étoffes colorées pour les cérémonies.,Sanaa-tajikoyney ga taafe birji-birjante tee batuyaŋ se.
Le henné est appliqué sur les mains des femmes lors des fêtes.,Haanadaara ga daŋ wayborey kanbey ga batuyaŋ waate.
Les matrones assistent les femmes lors des accouchements traditionnels.,Hay-ga-koy waybora ga wayborey gaa hay zamaney waate alaada ra.
Le sorgho est utilisé pour faire la bière locale appelée 'dolo'.,Baseyna ga goy ka dolo bii.
Les bouchers vendent la viande fraîche tôt le matin.,Ham neereikoyey ga ham taazaa neerandi susubay za niine.
Les vétérinaires mobiles vaccinent le bétail dans les villages.,Alman loktor dirakoyey ga alman pikiri noo koyraa ra.
Le miel sauvage est récolté dans les forêts par des spécialistes.,Saaji yuu ga hegay saaji ra goykoy waaniyaŋ do.
Les greniers traditionnels protègent les récoltes des insectes.,Alaada nagiyaŋ ga fari hegay goji gaan-gaan kayney ga.
La télévision par satellite est de plus en plus présente dans les foyers.,Tele beene ga boobo ka tonton windey ra.
Les barrages permettent de retenir l'eau pour l'agriculture.,Bongu beeriyo ga hari gaay beeriyan goy se.
Le taux d'alphabétisation s'améliore grâce aux programmes éducatifs.,Caw bayyan ga tonton dondon safaareyo maana se.
Les médicaments traditionnels sont souvent moins chers que les médicaments modernes.,Baytu safaari hay cindi ga kacca ka bisa safaari taaga.
Les potiers fabriquent des jarres pour conserver l'eau fraîche.,Kosu-jinay-teekoyey ga kusu beeri tee ka hari yayna jisi.
L'électricité est instable dans de nombreuses régions du pays.,Harikarifi si boori laabo nangu boobey ra.
Les ordinateurs sont utilisés dans les écoles urbaines.,Ordinater ga goy koyraa beeri lakoley ra.
La médecine préventive est encouragée par les centres de santé.,Goji safaari ga ganji baafunay fuuyaŋ do.
Les enfants aident aux travaux agricoles pendant les vacances scolaires.,Zankey ga gaa fari goy ra lakol fulayaŋ waate.
Les pêcheurs utilisent des pirogues pour naviguer sur le fleuve.,Ham-di-keyey ga hi goy ka yulu isa boŋ.
La cuisine se fait traditionnellement au feu de bois.,Ŋwaari hinayan ga tee tuuri nuune boŋ alaada ra.
Les tontines permettent aux femmes d'épargner et d'investir.,Noorujisi margu ga naŋ wayborey ma nooru jisi nda goyyaŋ fur.
Les réfugiés climatiques migrent vers les villes.,Jiiri-waate yadda kaykoyey ga koy koyraa beeriyo ra.
Le bétail est une forme de richesse et de prestige social.,Almaney ti nooru nda beeray fondo.
La coopération internationale finance des projets de développement.,Laabey care gaa teera ga noorujisi koy tontoni safaarey se.
Les téléphones solaires sont pratiques dans les zones sans électricité.,Wayna telefon ga boori nango kaŋ harikarifi si no.
La musique moderne intègre des éléments traditionnels.,Dooni taaga ga alaada jinay dam nga ra.
Les mariages arrangés sont encore pratiqués dans certaines communautés.,Hiijay kaŋ windey ga sombu ga tee hala sohõ jama fooyaŋ do.
Les jeunes apprennent l'informatique pour trouver du travail.,Arwasey ga ordinater dondon ka goy ceeci.
La pollution plastique est un problème croissant dans les villes.,Plastik ziibi ga tonton ka tee masiiba koyraa beeriyo ra.
Les fêtes religieuses rythment le calendrier annuel.,Addini batuyaŋ ga jiiroo waatey kayandi.
L'irrigation goutte-à-goutte économise l'eau dans les jardins.,Tooni-tooni hari nooyaŋ ga hari jisi lamba goyo ra.
Les enfants ramassent du bois pour le feu de cuisine.,Zankey ga tuuri kuuku kosu nuune te jirbiri se.
La radio nationale diffuse des informations en plusieurs langues.,Laama radiyo ga alhabar salaŋ deene booboyaŋ ra.
Les téléphones portables servent aussi de lampes torches la nuit.,Telefon ga goy mo ka koy danga fitilla cin ra.
Les commerçants voyagent loin pour acheter des marchandises.,Neereikoyey ga dira nango mooroyaŋ ka maamala jinay day.
L'examen du baccalauréat est important pour accéder à l'université.,Bacaloreya kaa-kabu ga hima hala boro ma university ra dam.
La saison sèche est propice à la construction des maisons.,Jiiri koga waate ga boori windi cinayaney se.
Les femmes vendent des légumes qu'elles cultivent dans leurs jardins.,Wayborey ga dumari kaŋ i na beeri ngi lambaa ra neera.
Le couscous de mil est un plat traditionnel apprécié.,Habu cere ti alaada ŋwaari kaŋ boori gumo.
Les bijoutiers fabriquent des parures en argent et en or.,Taalam-tee-koyey ga nzarfu nda wura jinay tee.
Les mécaniciens réparent motos et voitures dans les ateliers de rue.,Mooto nda mootomobil hanandi-koyey ga goy fonda meyo ga.
Les marchés de nuit sont populaires pendant le ramadan.,Cin habuey ga cabe gumo Ramadan waate.
Les bibliothèques mobiles apportent des livres dans les villages.,Tira-jisi-fu dirakoyey ga tirayaŋ sambu ka koy koyraa ra.
La danse traditionnelle est enseignée aux jeunes générations.,Baytu ganoo ga cawandi arwasu taagey se.
Les plantes médicinales sont cueillies à des moments précis de l'année.,Safaari tuurey ga kosu jiiri waati follokuney ra.
Le commerce en ligne commence à se développer dans les grandes villes.,Internet maamala ga tun koyraa beeriyo ra.
Les cordonniers réparent chaussures et selles de chameaux.,Taame hanandi-koyey ga taama nda yo gooro hanandi.
